(1), No, No, No, 75
a, Sí, No, No, 82.5
b, No, Sí, No, 82.5
ab, Sí, Sí, No, 67.5
c, No, No, Sí, 61.25
ac, Sí, No, Sí, 67.5
bc, No, Sí, Sí, 81.25
abc, Sí, Sí, Sí, 42.5
(1), No, No, No, 57.5
a, Sí, No, No, 75
b, No, Sí, No, 87.5
ab, Sí, Sí, No, 72.5
c, No, No, Sí, 45
ac, Sí, No, Sí, 60
bc, No, Sí, Sí, 80
abc, Sí, Sí, Sí, 22.5
(1), No, No, No, 75
a, Sí, No, No, 45
b, No, Sí, No, 95
ab, Sí, Sí, No, 67.5
c, No, No, Sí, 57.5
ac, Sí, No, Sí, 80
bc, No, Sí, Sí, 67.5
abc, Sí, Sí, Sí, 57.5
(1), No, No, No, 87
a, Sí, No, No, 65
b, No, Sí, No, 97.5
ab, Sí, Sí, No, 75
c, No, No, Sí, 40
ac, Sí, No, Sí, 35
bc, No, Sí, Sí, 70
abc, Sí, Sí, Sí, 52.5
(1), No, No, No, 100
a, Sí, No, No, 96.25
b, No, Sí, No, 95
